DATE,NAEXKP01KRQ189S
1960-01-01,7059600000000.0
1960-04-01,7377000000000.0
1960-07-01,7295000000000.0
1960-10-01,7338500000000.0
1961-01-01,7573400000000.0
1961-04-01,7900300000000.0
1961-07-01,7756100000000.0
1961-10-01,7856700000000.0
1962-01-01,8013200000000.0
1962-04-01,7863500000000.0
1962-07-01,8093700000000.0
1962-10-01,8326799999999.999
1963-01-01,8814700000000.0
1963-04-01,8606799999999.999
1963-07-01,8890400000000.0
1963-10-01,8898700000000.0
1964-01-01,9430000000000.0
1964-04-01,9158900000000.0
1964-07-01,9782200000000.0
1964-10-01,10175400000000.0
1965-01-01,10305500000000.0
1965-04-01,10328800000000.0
1965-07-01,10247100000000.0
1965-10-01,10486100000000.0
1966-01-01,11128800000000.0
1966-04-01,11818100000000.0
1966-07-01,11613800000000.0
1966-10-01,11768400000000.0
1967-01-01,12165000000000.0
1967-04-01,12419000000000.0
1967-07-01,12933100000000.0
1967-10-01,13018500000000.0
1968-01-01,13846900000000.0
1968-04-01,14050700000000.0
1968-07-01,14771800000000.0
1968-10-01,14519700000000.0
1969-01-01,15261800000000.0
1969-04-01,15788700000000.0
1969-07-01,17061500000000.0
1969-10-01,17404599999999.998
1970-01-01,17109700000000.0
1970-04-01,17797700000000.0
1970-07-01,17907800000000.0
1970-10-01,19287500000000.0
1971-01-01,19395700000000.0
1971-04-01,20027500000000.0
1971-07-01,20066200000000.0
1971-10-01,20216900000000.0
1972-01-01,20507500000000.0
1972-04-01,21113600000000.0
1972-07-01,21461600000000.0
1972-10-01,22374000000000.0
1973-01-01,23114000000000.0
1973-04-01,24085300000000.0
1973-07-01,25311300000000.0
1973-10-01,25677600000000.0
1974-01-01,26749700000000.0
1974-04-01,26679200000000.0
1974-07-01,27095600000000.0
1974-10-01,27003200000000.0
1975-01-01,27385200000000.0
1975-04-01,28674500000000.0
1975-07-01,29494000000000.0
1975-10-01,30404100000000.0
1976-01-01,31282400000000.0
1976-04-01,32786199999999.996
1976-07-01,33422300000000.004
1976-10-01,33798199999999.996
1977-01-01,34136500000000.0
1977-04-01,35868300000000.0
1977-07-01,38023700000000.0
1977-10-01,39456500000000.0
1978-01-01,39137100000000.0
1978-04-01,40343400000000.0
1978-07-01,41093500000000.0
1978-10-01,43064900000000.0
1979-01-01,44996800000000.0
1979-04-01,45336900000000.0
1979-07-01,44082100000000.0
1979-10-01,43412600000000.0
1980-01-01,43797300000000.0
1980-04-01,43561000000000.0
1980-07-01,44385600000000.0
1980-10-01,43158000000000.0
1981-01-01,44934000000000.0
1981-04-01,46019400000000.0
1981-07-01,47935100000000.0
1981-10-01,48687100000000.0
1982-01-01,49017500000000.0
1982-04-01,50168600000000.0
1982-07-01,51209100000000.0
1982-10-01,52820600000000.0
1983-01-01,55160800000000.0
1983-04-01,56864000000000.0
1983-07-01,58975700000000.0
1983-10-01,59397900000000.0
1984-01-01,62000300000000.0
1984-04-01,63554300000000.0
1984-07-01,64420700000000.0
1984-10-01,64733800000000.0
1985-01-01,66553399999999.99
1985-04-01,68156600000000.01
1985-07-01,68932000000000.0
1985-10-01,71033500000000.0
1986-01-01,72401200000000.0
1986-04-01,75222800000000.0
